Division,Quarter,Year,Revenue_M,Operating_Costs_M,Net_Profit_M,Employee_Count,RD_Investment_M,Market_Share_Pct,Customer_Satisfaction_Score
Wayne Aerospace,Q1,2023,1250.5,945.2,305.3,8500,125.0,18.5,4.2
Wayne Aerospace,Q2,2023,1380.7,1020.8,359.9,8750,140.5,19.2,4.3
Wayne Aerospace,Q3,2023,1420.3,1055.1,365.2,9000,145.8,19.8,4.4
Wayne Aerospace,Q4,2023,1650.9,1180.6,470.3,9200,165.0,21.2,4.5
Wayne Aerospace,Q1,2024,1580.2,1125.8,454.4,9100,158.0,20.8,4.4
Wayne Aerospace,Q2,2024,1720.5,1215.3,505.2,9350,172.0,22.1,4.6
Wayne Aerospace,Q3,2024,1850.3,1285.4,564.9,9600,185.0,23.5,4.7
Wayne Aerospace,Q4,2024,1950.7,1320.2,630.5,9800,195.0,24.2,4.8
Wayne Biotech,Q1,2023,980.4,720.8,259.6,6200,98.0,15.2,4.1
Wayne Biotech,Q2,2023,1045.7,765.3,280.4,6450,105.0,16.1,4.2
Wayne Biotech,Q3,2023,1120.8,815.6,305.2,6700,112.0,17.0,4.3
Wayne Biotech,Q4,2023,1280.5,890.4,390.1,6900,128.0,18.5,4.4
Wayne Biotech,Q1,2024,1180.3,845.7,334.6,6800,118.0,17.8,4.3
Wayne Biotech,Q2,2024,1350.9,955.2,395.7,7100,135.0,19.2,4.5
Wayne Biotech,Q3,2024,1480.2,1025.8,454.4,7350,148.0,20.8,4.6
Wayne Biotech,Q4,2024,1620.7,1105.3,515.4,7600,162.0,22.1,4.7
Wayne Applied Sciences,Q1,2023,750.3,580.2,170.1,4500,75.0,12.8,4.0
Wayne Applied Sciences,Q2,2023,820.6,625.4,195.2,4650,82.0,13.5,4.1
Wayne Applied Sciences,Q3,2023,890.8,665.8,225.0,4800,89.0,14.2,4.2
Wayne Applied Sciences,Q4,2023,980.5,720.3,260.2,4950,98.0,15.5,4.3
Wayne Applied Sciences,Q1,2024,920.7,685.5,235.2,4900,92.0,15.0,4.2
Wayne Applied Sciences,Q2,2024,1050.4,765.8,284.6,5100,105.0,16.2,4.4
Wayne Applied Sciences,Q3,2024,1180.9,845.2,335.7,5300,118.0,17.8,4.5
Wayne Applied Sciences,Q4,2024,1280.3,910.5,369.8,5500,128.0,18.9,4.6
Wayne Construction,Q1,2023,2100.8,1650.5,450.3,12500,85.0,22.5,3.9
Wayne Construction,Q2,2023,2350.4,1820.7,529.7,13000,95.0,24.1,4.0
Wayne Construction,Q3,2023,2580.9,1985.3,595.6,13500,105.0,25.8,4.1
Wayne Construction,Q4,2023,2780.5,2120.8,659.7,14000,115.0,27.2,4.2
Wayne Construction,Q1,2024,2650.3,2035.2,615.1,13800,110.0,26.5,4.1
Wayne Construction,Q2,2024,2920.7,2220.5,700.2,14300,125.0,28.8,4.3
Wayne Construction,Q3,2024,3150.4,2385.8,764.6,14800,135.0,30.2,4.4
Wayne Construction,Q4,2024,3380.9,2520.3,860.6,15200,145.0,31.8,4.5
Wayne Foundation,Q1,2023,180.5,165.2,-15.3,800,25.0,N/A,4.6
Wayne Foundation,Q2,2023,195.8,178.5,-17.3,850,28.0,N/A,4.7
Wayne Foundation,Q3,2023,210.4,185.9,-24.5,900,32.0,N/A,4.8
Wayne Foundation,Q4,2023,250.7,198.3,-52.4,950,38.0,N/A,4.9
Wayne Foundation,Q1,2024,225.3,180.2,-45.1,920,30.0,N/A,4.8
Wayne Foundation,Q2,2024,280.6,215.8,-64.8,980,42.0,N/A,4.9
Wayne Foundation,Q3,2024,320.9,245.5,-75.4,1050,48.0,N/A,5.0
Wayne Foundation,Q4,2024,365.2,275.8,-89.4,1100,55.0,N/A,5.0