Date,District,Security_Incidents,Response_Time_Minutes,Wayne_Tech_Deployments,Public_Safety_Score,Infrastructure_Investments_M,Crime_Prevention_Effectiveness_Pct,Community_Engagement_Events,Employee_Safety_Index
2023-01-15,Downtown,45,3.2,125,7.8,12.5,78.5,8,8.9
2023-01-15,East End,78,4.8,89,6.2,8.3,65.2,5,7.4
2023-01-15,Park Row,32,2.9,156,8.5,15.2,85.3,12,9.2
2023-01-15,The Narrows,98,6.2,67,5.1,5.8,52.8,3,6.8
2023-01-15,Bristol,28,2.1,178,9.1,18.7,92.1,15,9.6
2023-01-15,Diamond District,41,3.5,134,8.2,14.2,81.7,10,8.7
2023-02-15,Downtown,42,3.0,128,8.0,12.8,79.2,9,9.0
2023-02-15,East End,75,4.6,92,6.4,8.6,66.8,6,7.6
2023-02-15,Park Row,29,2.7,159,8.7,15.5,86.1,13,9.3
2023-02-15,The Narrows,95,5.9,70,5.3,6.1,54.2,4,7.0
2023-02-15,Bristol,25,2.0,181,9.3,19.0,93.2,16,9.7
2023-02-15,Diamond District,38,3.3,137,8.4,14.5,82.5,11,8.8
2023-03-15,Downtown,39,2.8,131,8.2,13.1,80.8,10,9.1
2023-03-15,East End,72,4.4,95,6.6,8.9,68.4,7,7.8
2023-03-15,Park Row,26,2.5,162,8.9,15.8,87.2,14,9.4
2023-03-15,The Narrows,92,5.7,73,5.5,6.4,55.6,5,7.2
2023-03-15,Bristol,22,1.9,184,9.5,19.3,94.1,17,9.8
2023-03-15,Diamond District,35,3.1,140,8.6,14.8,83.4,12,8.9
2023-04-15,Downtown,36,2.6,134,8.4,13.4,82.1,11,9.2
2023-04-15,East End,69,4.2,98,6.8,9.2,69.7,8,8.0
2023-04-15,Park Row,23,2.3,165,9.1,16.1,88.3,15,9.5
2023-04-15,The Narrows,89,5.5,76,5.7,6.7,57.1,6,7.4
2023-04-15,Bristol,19,1.8,187,9.7,19.6,94.8,18,9.9
2023-04-15,Diamond District,32,2.9,143,8.8,15.1,84.2,13,9.0
2023-05-15,Downtown,33,2.4,137,8.6,13.7,83.5,12,9.3
2023-05-15,East End,66,4.0,101,7.0,9.5,71.2,9,8.2
2023-05-15,Park Row,20,2.1,168,9.3,16.4,89.1,16,9.6
2023-05-15,The Narrows,86,5.3,79,5.9,7.0,58.5,7,7.6
2023-05-15,Bristol,16,1.7,190,9.9,19.9,95.6,19,10.0
2023-05-15,Diamond District,29,2.7,146,9.0,15.4,85.1,14,9.1
2023-06-15,Downtown,30,2.2,140,8.8,14.0,84.8,13,9.4
2023-06-15,East End,63,3.8,104,7.2,9.8,72.5,10,8.4
2023-06-15,Park Row,17,1.9,171,9.5,16.7,90.2,17,9.7
2023-06-15,The Narrows,83,5.1,82,6.1,7.3,59.8,8,7.8
2023-06-15,Bristol,13,1.6,193,10.0,20.2,96.3,20,10.0
2023-06-15,Diamond District,26,2.5,149,9.2,15.7,86.0,15,9.2
2023-07-15,Downtown,35,2.5,138,8.5,13.8,83.2,12,9.2
2023-07-15,East End,68,4.1,102,6.9,9.6,70.8,9,8.1
2023-07-15,Park Row,21,2.2,169,9.2,16.5,88.7,16,9.5
2023-07-15,The Narrows,88,5.4,80,5.8,6.9,57.9,7,7.5
2023-07-15,Bristol,17,1.8,191,9.8,19.7,95.2,18,9.9
2023-07-15,Diamond District,31,2.8,147,8.9,15.3,84.6,13,9.0
2023-08-15,Downtown,38,2.7,136,8.3,13.6,82.6,11,9.1
2023-08-15,East End,71,4.3,100,6.7,9.4,69.3,8,7.9
2023-08-15,Park Row,24,2.4,167,9.0,16.3,87.8,15,9.4
2023-08-15,The Narrows,91,5.6,78,5.6,6.8,56.4,6,7.3
2023-08-15,Bristol,20,1.9,189,9.6,19.5,94.5,17,9.8
2023-08-15,Diamond District,34,3.0,145,8.7,15.0,83.8,12,8.9
2023-09-15,Downtown,41,2.9,133,8.1,13.3,81.4,10,9.0
2023-09-15,East End,74,4.5,97,6.5,9.1,67.9,7,7.7
2023-09-15,Park Row,27,2.6,164,8.8,16.0,86.9,14,9.3
2023-09-15,The Narrows,94,5.8,75,5.4,6.6,55.0,5,7.1
2023-09-15,Bristol,23,2.0,186,9.4,19.1,93.7,16,9.7
2023-09-15,Diamond District,37,3.2,142,8.5,14.7,82.9,11,8.8
2023-10-15,Downtown,44,3.1,130,7.9,13.0,80.1,9,8.9
2023-10-15,East End,77,4.7,94,6.3,8.8,66.4,6,7.5
2023-10-15,Park Row,30,2.8,161,8.6,15.7,85.6,13,9.2
2023-10-15,The Narrows,97,6.0,72,5.2,6.3,53.6,4,6.9
2023-10-15,Bristol,26,2.1,183,9.2,18.9,92.8,15,9.6
2023-10-15,Diamond District,40,3.4,139,8.3,14.4,81.3,10,8.7
2023-11-15,Downtown,47,3.3,127,7.7,12.7,78.8,8,8.8
2023-11-15,East End,80,4.9,91,6.1,8.5,65.0,5,7.3
2023-11-15,Park Row,33,3.0,158,8.4,15.4,84.7,12,9.1
2023-11-15,The Narrows,100,6.2,69,5.0,6.0,52.2,3,6.7
2023-11-15,Bristol,29,2.2,180,9.0,18.6,91.9,14,9.5
2023-11-15,Diamond District,43,3.6,136,8.1,14.1,80.4,9,8.6
2023-12-15,Downtown,50,3.5,124,7.5,12.4,77.5,7,8.7
2023-12-15,East End,83,5.1,88,5.9,8.2,63.8,4,7.1
2023-12-15,Park Row,36,3.2,155,8.2,15.1,83.9,11,9.0
2023-12-15,The Narrows,103,6.4,66,4.8,5.7,51.0,2,6.5
2023-12-15,Bristol,32,2.3,177,8.8,18.3,91.2,13,9.4
2023-12-15,Diamond District,46,3.8,133,7.9,13.8,79.6,8,8.5
2024-01-15,Downtown,28,2.1,145,8.9,14.5,86.2,14,9.5
2024-01-15,East End,58,3.5,112,7.5,10.8,75.3,11,8.6
2024-01-15,Park Row,15,1.8,175,9.6,17.5,91.8,18,9.8
2024-01-15,The Narrows,75,4.8,89,6.4,7.8,62.5,9,8.1
2024-01-15,Bristol,12,1.5,198,10.0,21.0,97.2,21,10.0
2024-01-15,Diamond District,22,2.3,155,9.4,16.8,88.5,16,9.4
2024-02-15,Downtown,25,1.9,148,9.1,14.8,87.6,15,9.6
2024-02-15,East End,55,3.3,115,7.7,11.1,76.8,12,8.8
2024-02-15,Park Row,12,1.6,178,9.8,17.8,92.9,19,9.9
2024-02-15,The Narrows,72,4.6,92,6.6,8.1,64.2,10,8.3
2024-02-15,Bristol,9,1.4,201,10.0,21.3,98.1,22,10.0
2024-02-15,Diamond District,19,2.1,158,9.6,17.1,89.7,17,9.5
2024-03-15,Downtown,22,1.7,151,9.3,15.1,88.9,16,9.7
2024-03-15,East End,52,3.1,118,7.9,11.4,78.1,13,9.0
2024-03-15,Park Row,9,1.4,181,9.9,18.1,94.2,20,10.0
2024-03-15,The Narrows,69,4.4,95,6.8,8.4,65.7,11,8.5
2024-03-15,Bristol,6,1.3,204,10.0,21.6,98.8,23,10.0
2024-03-15,Diamond District,16,1.9,161,9.8,17.4,90.8,18,9.6
2024-04-15,Downtown,19,1.5,154,9.5,15.4,90.1,17,9.8
2024-04-15,East End,49,2.9,121,8.1,11.7,79.4,14,9.2
2024-04-15,Park Row,6,1.2,184,10.0,18.4,95.3,21,10.0
2024-04-15,The Narrows,66,4.2,98,7.0,8.7,67.2,12,8.7
2024-04-15,Bristol,3,1.2,207,10.0,21.9,99.5,24,10.0
2024-04-15,Diamond District,13,1.7,164,9.9,17.7,91.9,19,9.7
2024-05-15,Downtown,16,1.3,157,9.7,15.7,91.4,18,9.9
2024-05-15,East End,46,2.7,124,8.3,12.0,80.7,15,9.4
2024-05-15,Park Row,3,1.0,187,10.0,18.7,96.4,22,10.0
2024-05-15,The Narrows,63,4.0,101,7.2,9.0,68.5,13,8.9
2024-05-15,Bristol,1,1.1,210,10.0,22.2,99.8,25,10.0
2024-05-15,Diamond District,10,1.5,167,10.0,18.0,93.1,20,9.8
2024-06-15,Downtown,13,1.1,160,9.9,16.0,92.7,19,10.0
2024-06-15,East End,43,2.5,127,8.5,12.3,82.0,16,9.6
2024-06-15,Park Row,1,0.9,190,10.0,19.0,97.5,23,10.0
2024-06-15,The Narrows,60,3.8,104,7.4,9.3,69.8,14,9.1
2024-06-15,Bristol,0,1.0,213,10.0,22.5,100.0,26,10.0
2024-06-15,Diamond District,7,1.3,170,10.0,18.3,94.2,21,9.9